Year,Primary Job Title,Base Pay
2016,Associate Professor,133000.0
2017,Associate Professor,133000.0
2018,Associate Professor,133000.0
2019,Associate Professor,133000.0
2020,Associate Professor,126350.0
2015,Associate Professor,30000.0
2016,Associate Professor,30000.0
2017,Associate Professor,30000.0
2018,Associate Professor,30000.0
2019,Associate Professor,30000.0
2020,Associate Professor,30000.0
2017,Assistant Professor,40500.0
2018,Assistant Professor,40500.0
2019,Assistant Professor,40500.0
2020,Assistant Professor,40500.0
2015,Associate Professor,49500.0
2016,Associate Professor,54780.0
2017,Associate Professor,54780.0
2018,Associate Professor,49500.0
2019,Associate Professor,49500.0
2020,Associate Professor,47768.0
2015,Clinical Professor,84044.0
2016,Clinical Professor,97118.03
2017,Clinical Professor,108229.0
2018,Clinical Professor,114263.0
2019,Clinical Professor,117691.0
2020,Clinical Professor,117691.0
2015,Professor,193000.0
2016,Professor,193000.0
2017,Professor,193000.0
2018,Professor,193000.0
2019,Professor,193000.0
2020,Professor,183350.0
2015,Associate Professor,69783.0
2016,Associate Professor,71940.86
2017,Associate Professor,71941.0
2018,Associate Professor,76228.0
2019,Associate Professor,78737.0
2020,Associate Professor,78737.0
2016,Assistant Professor,24000.0
2017,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,48750.0
2015,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Professor,100755.0
2016,Professor,105428.22
2017,Professor,81496.0
2018,Professor,110004.0
2019,Professor,84880.0
2020,Professor,84880.0
2015,Professor,52857.0
2016,Professor,52857.0
2017,Professor,52853.0
2018,Professor,56453.0
2019,Professor,56453.0
2020,Professor,55042.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Associate Professor,82862.0
2016,Associate Professor,86765.26
2017,Associate Professor,86765.0
2018,Associate Professor,90970.0
2019,Associate Professor,93391.0
2020,Associate Professor,93391.0
2015,Associate Professor,40250.0
2016,Professor,40249.92
2017,Professor,40250.0
2018,Professor,40250.0
2019,Professor,40250.0
2020,Professor,40250.0
2015,Professor,121906.0
2019,Professor,139726.0
2020,Professor,135330.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Associate Professor,100616.0
2016,Associate Professor,104407.0
2017,Associate Professor,104407.0
2018,Associate Professor,110124.0
2019,Associate Professor,113212.0
2020,Associate Professor,110716.0
2015,Assistant Professor,28335.0
2016,Assistant Professor,28335.0
2017,Assistant Professor,22500.0
2018,Assistant Professor,21000.0
2019,Assistant Professor,21000.0
2020,Assistant Professor,21000.0
2019,Associate Professor,150001.0
2020,Associate Professor,142501.0
2015,Associate Professor,79108.0
2016,Associate Professor,82253.87
2017,Associate Professor,94254.0
2018,Associate Professor,101323.0
2019,Associate Professor,89636.0
2020,Associate Professor,115003.0
2015,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Associate Professor,80128.0
2016,Associate Professor,82777.63
2017,Associate Professor,82778.0
2018,Associate Professor,86705.0
2019,Associate Professor,88937.0
2020,Associate Professor,88937.0
2015,Associate Professor,78714.0
2016,Associate Professor,81739.78
2017,Associate Professor,81740.0
2018,Associate Professor,86933.0
2019,Professor,76710.0
2020,Professor,99237.0
2015,Professor,116418.0
2016,Professor,116418.0
2018,Professor,192507.0
2019,Professor,240000.0
2020,Professor,220079.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Professor,200984.0
2016,Professor,200984.0
2017,Professor,200984.0
2018,Professor,200984.0
2019,Professor,210832.0
2020,Professor,200290.0
2016,Associate Professor,78092.72
2017,Associate Professor,78093.0
2018,Associate Professor,82005.0
2019,Associate Professor,84300.0
2020,Associate Professor,63225.0
2015,Associate Professor,74831.0
2015,Associate Professor,95773.0
2016,Associate Professor,99085.81
2016,Assistant Professor,70693.0
2017,Assistant Professor,70693.0
2018,Assistant Professor,75218.0
2019,Assistant Professor,77819.0
2020,Assistant Professor,77819.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Professor,30000.0
2016,Professor,30000.0
2017,Professor,30000.0
2018,Professor,30000.0
2019,Professor,30000.0
2020,Professor,30000.0
2015,Associate Professor,136551.0
2016,Associate Professor,140039.1
2017,Associate Professor,140039.0
2018,Associate Professor,146327.0
2019,Associate Professor,149498.0
2020,Associate Professor,149498.0
2016,Professor,165540.0
2017,Professor,165540.0
2018,Professor,172647.0
2019,Professor,176211.0
2020,Professor,176211.0
2015,Associate Professor,82039.0
2016,Associate Professor,85381.26
2017,Associate Professor,85381.0
2018,Associate Professor,89849.0
2019,Professor,102689.0
2020,Professor,102689.0
2019,Associate Professor,48000.0
2020,Associate Professor,47090.0
2016,Associate Professor,30840.0
2017,Associate Professor,30840.0
2018,Associate Professor,30840.0
2019,Associate Professor,30840.0
2020,Associate Professor,27756.0
2015,Associate Professor,30840.0
2015,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2015,Assistant Professor,30000.0
2016,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2016,Extension Professor,107741.75
2017,Extension Professor,112812.0
2018,Extension Professor,126081.0
2019,Extension Professor,93811.0
2020,Extension Professor,135879.0
2020,Assistant Professor,109000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2020,Assistant Professor,94500.0
2017,Assistant Professor,125000.0
2018,Assistant Professor,125000.0
2019,Assistant Professor,125000.0
2020,Assistant Professor,141000.0
2015,Professor,193023.0
2016,Professor,199276.62
2017,Professor,199277.0
2018,Professor,208379.0
2019,Professor,212968.0
2020,Professor,212968.0
2015,Associate Professor,71305.0
2016,Associate Professor,74719.01
2017,Associate Professor,74719.0
2018,Associate Professor,78901.0
2019,Associate Professor,81022.0
2020,Associate Professor,62630.0
2015,Associate Professor,30000.0
2016,Associate Professor,30000.0
2017,Associate Professor,30000.0
2018,Associate Professor,24000.0
2019,Associate Professor,24000.0
